               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.024737,           0.0093294,            0.001245,             0.84686,              0.6422,             0.72227,             0.44683,            0.040774,           0.0090328,           0.0021679,           0.0072527,           0.0072527,           0.0072527
                 113,             0.02482,           0.0091058,           0.0010622,             0.85458,             0.61916,             0.71943,               0.449,            0.042127,            0.009116,           0.0019799,            0.007228,            0.007228,            0.007228
                 114,            0.024632,           0.0089586,           0.0011884,             0.89141,             0.64152,             0.74296,             0.46123,            0.041709,           0.0090075,           0.0015312,           0.0072033,           0.0072033,           0.0072033
                 115,            0.025629,           0.0087329,           0.0018597,             0.82535,             0.66807,               0.735,             0.44952,            0.039791,           0.0091536,          0.00066919,           0.0071785,           0.0071785,           0.0071785
                 116,            0.024966,           0.0095564,          0.00088372,              0.8375,             0.59918,             0.71217,             0.45409,            0.037794,           0.0091569,           0.0005073,           0.0071538,           0.0071538,           0.0071538
                 117,            0.026457,           0.0094908,           0.0017166,              0.8135,             0.60488,             0.69672,               0.446,            0.039188,           0.0093912,          0.00070959,            0.007129,            0.007129,            0.007129
                 118,            0.024705,           0.0089897,           0.0014377,             0.75358,             0.62722,             0.69033,             0.43589,            0.039184,           0.0096869,          0.00066694,           0.0071042,           0.0071042,           0.0071042
                 119,            0.024282,           0.0095595,           0.0011873,             0.81091,             0.61865,             0.70887,             0.43724,            0.036945,           0.0094739,          0.00052557,           0.0070795,           0.0070795,           0.0070795
                 120,            0.024633,           0.0089364,           0.0014569,             0.81655,             0.65914,              0.7207,             0.44899,            0.038288,            0.009631,          0.00054889,           0.0070547,           0.0070547,           0.0070547
                 121,            0.025348,           0.0092276,           0.0010726,             0.73406,             0.70304,             0.73489,             0.43939,             0.03762,           0.0091386,          0.00047323,             0.00703,             0.00703,             0.00703
                 122,            0.025399,           0.0096022,           0.0014202,             0.83446,             0.63398,             0.72329,             0.44392,            0.038658,           0.0090317,          0.00049682,           0.0070053,           0.0070053,           0.0070053
                 123,            0.025474,           0.0095892,           0.0019352,             0.84962,             0.64452,             0.72182,             0.43454,            0.040352,           0.0090455,          0.00058784,           0.0069805,           0.0069805,           0.0069805
                 124,            0.026099,           0.0092482,          0.00079307,             0.86707,             0.65525,             0.73759,             0.43832,            0.040033,            0.008967,          0.00076571,           0.0069558,           0.0069558,           0.0069558
