timestamp,lift_A,volume_A,lift_B,volume_B,lift_C,volume_C,lift_D,volume_D
7/19/19 19:59,0.740931389,100,0.77756473,1763,0.670628538,433,0.821481343,17222
7/19/19 23:59,0.734776027,200,0.772907867,2405,0.667479428,959,0.816829922,6486
7/20/19 3:59,0.740426402,800,0.777790499,13269,0.673804616,110,0.821516068,1200
7/20/19 7:59,0.743435339,601,0.780139345,3926,0.67252337,323,0.822224778,2912
7/20/19 11:59,0.753581534,2812,0.788009258,6177,0.676882181,328,0.827446934,2465
7/20/19 15:59,0.737366251,3604,0.774537387,7341,0.669488826,322,0.817103001,600
7/20/19 19:59,0.737879863,700,0.774970278,10136,0.669388489,2019,0.817908401,11707
7/20/19 23:59,0.732148381,101,0.77024172,22300,0.666808463,315,0.815050894,123529
7/21/19 3:59,0.724586103,300,0.763784077,11799,0.659884466,1109,0.80921687,0
7/21/19 7:59,0.719558237,4000,0.759756736,16629,0.660584819,300,0.806863393,495
7/21/19 11:59,0.73161837,301,0.768784008,9944,0.658757742,4800,0.809310606,109
7/21/19 15:59,0.724586103,3188,0.763011256,2074,0.656384466,1121,0.805763023,576
7/21/19 19:59,0.720123656,1200,0.760691894,11078,0.660938957,248,0.806282648,109222
7/21/19 23:59,0.724586103,1000,0.764324106,2658,0.669527323,114,0.810899507,2157730
7/22/19 3:59,0.726232708,5600,0.766152737,16813,0.670350626,1078,0.813408356,28155
7/22/19 7:59,0.727322339,500,0.766852965,21293,0.675538298,1000,0.816676326,43232
7/22/19 11:59,0.716130889,100,0.758067128,3533,0.669942573,200,0.810584243,23754
7/22/19 15:59,0.714974731,900,0.757751263,1268,0.67257878,29620,0.810172972,2125
